title,year,duration,genre,rating,synopsis,directors,stars
Blue Lock,2022,22,"Animation, Sport, Thriller",8.4,High school soccer players from across Japan gather for a controversial project designed to create the best and most egoistic striker in the world.,"Ricco Fajardo,Drew Breedlove,Alex Hom,Aaron Dismuke",
Loot,2022,25,Comedy,6.7,"After divorcing her husband of 20 years, Molly Novak must figure out what to do with her $87 billion settlement. She decides to reengage with her charitable foundation and reconnect with the real world--and finds herself along the way.","Maya Rudolph,Michaela Jaé (MJ) Rodriguez,Joel Kim Booster,Ron Funches",
Bandit,2022,126,"Crime, Drama, Thriller",6.4,"After escaping a Michigan prison, a charming career criminal assumes a new identity in Canada and goes on to rob a record 59 banks and jewellery stores while being hunted by a police task force. Based on the story of The Flying Bandit.",Allan Ungar,"Josh Duhamel,Elisha Cuthbert,Nestor Carbonell,Mel Gibson"
Archive 81,2022,60,"Drama, Horror, Mystery",7.3,An archivist hired to restore a collection of tapes finds himself reconstructing the work of a filmmaker and her investigation into a dangerous cult.,"Mamoudou Athie,Dina Shihabi,Evan Jonigkeit,Julia Chan",
Memory,2022,114,"Action, Crime, Thriller",5.7,An assassin-for-hire finds that he's become a target after he refuses to complete a job for a dangerous criminal organization.,Martin Campbell,"Liam Neeson,Guy Pearce,Taj Atwal,Harold Torres"
iMordecai,2022,102,"Comedy, Drama, Family",8.5,"A Holocaust survivor, born and raised in a different time, must face the realities of modern world. When confronted with an unfamiliar object, an iPhone, will Mordecai be able to fit into a world that has changed so much around him?",Marvin Samel,"Judd Hirsch,Carol Kane,Sean Astin,Nick Puga"
Do Revenge,2022,118,Comedy,6.3,Drea and Eleanor agree to go after one another's bullies.,Jennifer Kaytin Robinson,"Camila Mendes,Maya Hawke,Austin Abrams,Rish Shah"
The Eight Mountains,2022,147,Drama,7.8,"The Eight Mountains is the story of a friendship. Of children becoming men who try to erase the footprints of their fathers, but who, through the twists and turns they take, always end up ...","Felix van Groeningen,Charlotte Vandermeersch","Luca Marinelli,Alessandro Borghi,Lupo Barbiero,Cristiano Sassella"
Dog,2022,101,"Comedy, Drama",6.5,Two former Army Rangers are paired against their will on the road trip of a lifetime. Briggs (Channing Tatum) and Lulu (a Belgian Malinois) race down the Pacific Coast to get to a fellow soldier's funeral on time.,"Reid Carolin,Channing Tatum","Channing Tatum,Ryder McLaughlin,Aavi Haas,Luke Forbes"
Shoresy,2022,24,"Action, Comedy, Drama",8.5,"Sees the foul-mouthed, chirp-serving, mother-loving, fan favorite character, Shoresy, join a senior AAA hockey team in Sudbury on a quest to never lose again.","Jared Keeso,Tasya Teles,Harlan Blayne Kytwayhat,Blair Lamora",
Piggy,2022,99,"Drama, Horror, Thriller",6.2,An overweight teen is bullied by a clique of cool girls poolside while holidaying in her village. The long walk home will change the rest of her life.,Carlota Pereda,"Laura Galán,Richard Holmes,Carmen Machi,Irene Ferreiro"
Joyland,2022,126,Drama,7.7,"The youngest son in a traditional Pakistani family takes a job as a backup dancer in a Bollywood-style burlesque, and he quickly becomes infatuated with the strong-willed trans woman who runs the show.",Saim Sadiq,"Ali Junejo,Rasti Farooq,Alina Khan,Sarwat Gilani"
Bros,2022,115,"Comedy, Romance",6.4,Two men with commitment problems attempt a relationship.,Nicholas Stoller,"Billy Eichner,Luke Macfarlane,Guy Branum,Miss Lawrence"
The Imperfects,2022,45,"Action, Adventure, Drama",6.4,"After an experimental gene therapy turns them into monsters, three twenty-somethings band together to hunt down the scientist responsible and force him to make them human again.","Italia Ricci,Morgan Taylor Campbell,Iñaki Godoy,Rhianna Jagpal",
Drishyam 2,2022,140,"Crime, Drama, Mystery",8.3,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?,Abhishek Pathak,"Ajay Devgn,Akshaye Khanna,Tabu,Shriya Saran"
Deadstream,2022,87,"Comedy, Horror",6.5,"A disgraced internet personality attempts to win back his followers by livestreaming one night alone in a haunted house. But when he accidentally pisses off a vengeful spirit, his big comeback event becomes a real-time fight for his life.","Joseph Winter,Vanessa Winter","Joseph Winter,Melanie Stone,Jason K. Wixom,Pat Barnett"
Fresh,2022,114,"Comedy, Horror, Thriller",6.7,"FRESH follows Noa (Daisy Edgar-Jones), who meets the alluring Steve (Sebastian Stan) at a grocery store and - given her frustration with dating apps - takes a chance and gives him her number.",Mimi Cave,"Daisy Edgar-Jones,Sebastian Stan,Jojo T. Gibbs,Andrea Bang"
Father of the Bride,2022,117,"Comedy, Drama, Romance",5.9,"A father's coming to grips with his daughter's upcoming wedding through the prism of multiple relationships within a big, sprawling Cuban-American clan.",Gary Alazraki,"Andy Garcia,Gloria Estefan,Adria Arjona,Isabela Merced"
In from the Cold,2022,42,"Action, Crime, Drama",6.3,"Exposed as an ex-Russian spy, an American single mom must juggle family life and unique shape-shifting skills in a battle against an insidious enemy.","Margarita Levieva,Cillian O'Sullivan,Lydia Fleming,Charles Brice",
The Lair,2022,96,"Action, Horror",4.5,"When Royal Air Force pilot Lt. Kate Sinclair is shot down over Afghanistan, she finds refuge in an abandoned underground bunker where deadly man-made biological weapons - half human, half alien - are awakened.",Neil Marshall,"Charlotte Kirk,Jonathan Howard,Jamie Bamber,Leon Ockenden"
That Dirty Black Bag,2022,50,"Drama, Western",7.1,"Two men face off in a savage, deserted world.","Douglas Booth,Dominic Cooper,Niv Sultan,Guido Caprino",
The Lazarus Project,2022,45,"Action, Drama, Fantasy",7.1,Is a top secret organization dedicated to preventing mass extinction events and with the ability to make time go backwards.,"Paapa Essiedu,Anjli Mohindra,Rudi Dharmalingam,Caroline Quentin",
Woman of the Dead,2022,45,"Crime, Drama, Mystery",6.8,"In a vengeful quest to find out who killed her husband, a woman ends up exposing her small community's deepest and ugliest secrets.","Anna Maria Mühe,Felix Klare,Yousef 'Joe' Sweid,Emilia Pieske",
Interceptor,2022,99,"Action, Adventure, Drama",4.6,One Army captain must use her years of tactical training and military expertise when a simultaneous coordinated attack threatens the remote missile interceptor station she is in command of.,Matthew Reilly,"Elsa Pataky,Luke Bracey,Aaron Glenane,Mayen Mehta"
Cyberpunk: Edgerunners,2022,24,"Animation, Action, Adventure",8.3,"A Street Kid trying to survive in a technology and body modification-obsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an Edgerunner, a Mercenary outlaw also known as a Cyberpunk.","Zach Aguilar,Kenichiro Ohashi,Emi Lo,Aoi Yûki",
Secret Headquarters,2022,104,"Action, Adventure, Comedy",5.1,"While hanging out after school, Charlie and his friends discover the headquarters of the world's most powerful superhero hidden beneath his home. When villains attack, they must team up to defend the headquarters and save the world.","Henry Joost,Ariel Schulman","Owen Wilson,Michael Peña,Walker Scobell,Jesse Williams"
All the Beauty and the Bloodshed,2022,122,Documentary,7.9,"Follows the life of artist Nan Goldin and the downfall of the Sackler family, the pharmaceutical dynasty who was greatly responsible for the opioid epidemic's unfathomable death toll.",Laura Poitras,"Nan Goldin,David Armstrong,Marina Berio,Noemi Bonazzi"
The Guardians of the Galaxy: Holiday Special,2022,41,"Action, Adventure, Comedy",6.9,"Star-Lord, Drax, Rocket, Mantis, and Groot engage in some spirited shenanigans in an all-new original special created for Disney+.",James Gunn,"Luke Klein,Sean Gunn,Michael Rooker,Pom Klementieff"
All of Us Are Dead,2022,60,"Action, Drama, Fantasy",7.5,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out or turn into one of the rabid infected.,"Park Ji-hu,Chan-Young Yoon,Yi-Hyun Cho,Park Solomon",
Magpie Murders,2022,45,"Drama, Mystery",7.5,Editor Susan Ryeland gets drawn into a web of intrigue and murder when she receives Alan Conway's unfinished manuscript of an Atticus Pünd mystery.,"Conleth Hill,Lesley Manville,Tim McMullan,Ian Lloyd Anderson",
Thirteen Lives,2022,147,"Action, Adventure, Biography",7.8,A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.,Ron Howard,"Viggo Mortensen,Colin Farrell,Joel Edgerton,Tom Bateman"
Dead for a Dollar,2022,107,"Thriller, Western",5.3,"A famed bounty hunter runs into his sworn enemy, a professional gambler and outlaw that he had sent to prison years before.",Walter Hill,"Christoph Waltz,Willem Dafoe,Rachel Brosnahan,Warren Burke"
The Staircase,2022,519,"Biography, Crime, Drama",7.1,"Tells the story of Michael Peterson, a crime novelist accused of killing his wife Kathleen after she is found dead at the bottom of a staircase in their home, and the 16-year judicial battle that followed.","Colin Firth,Toni Collette,Michael Stuhlbarg,Patrick Schwarzenegger",
